Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.102	-1834.900	-831.599	1877.202	-2289.183	1096.430
1	-1840.384	-1834.513	-831.961	1876.773	-2288.551	1097.054
2	-1839.661	-1834.282	-833.649	1876.712	-2287.641	1097.662
3	-1839.137	-1834.670	-835.283	1877.025	-2287.141	1098.046
4	-1839.157	-1835.088	-834.966	1877.262	-2287.417	1098.056
5	-1839.511	-1834.710	-832.822	1877.193	-2288.276	1097.810
6	-1839.605	-1833.697	-831.695	1877.086	-2289.454	1097.550
7	-1839.234	-1833.199	-833.080	1877.181	-2290.591	1097.560
8	-1838.996	-1833.931	-835.311	1877.366	-2291.216	1097.934
9	-1838.912	-1835.015	-836.822	1877.123	-2291.202	1098.418
10	-1838.803	-1835.145	-837.377	1876.187	-2291.043	1098.743
11	-1839.191	-1834.365	-837.179	1875.160	-2291.312	1098.861
12	-1840.005	-1833.920	-836.727	1874.635	-2292.074	1098.819
13	-1840.783	-1834.413	-835.991	1874.585	-2292.879	1098.570
14	-1841.411	-1835.160	-834.928	1874.958	-2293.156	1098.073
15	-1841.627	-1835.380	-834.465	1875.978	-2292.645	1097.626
16	-1841.167	-1835.265	-835.332	1877.355	-2291.783	1097.696
17	-1840.464	-1835.305	-836.351	1878.186	-2291.297	1098.458
18	-1840.255	-1835.582	-835.917	1878.075	-2291.347	1099.373
19	-1840.642	-1835.802	-834.342	1877.422	-2291.401	1099.668
20	-1841.048	-1835.654	-832.919	1876.858	-2290.922	1099.048
21	-1841.032	-1835.371	-832.169	1876.740	-2290.172	1097.891
22	-1840.492	-1835.369	-832.079	1877.055	-2289.977	1096.960
23	-1839.820	-1835.604	-832.566	1877.474	-2290.511	1096.924
24	-1839.749	-1835.630	-833.220	1877.561	-2291.036	1097.894
25	-1840.299	-1835.248	-833.726	1877.102	-2290.860	1099.009
26	-1840.617	-1834.822	-833.864	1876.560	-2290.112	1099.080
27	-1840.296	-1834.654	-833.465	1876.613	-2289.668	1098.064
28	-1839.861	-1834.652	-833.121	1877.192	-2290.235	1096.884
29	-1839.743	-1834.541	-833.889	1877.569	-2291.508	1096.349
30	-1839.894	-1834.194	-835.555	1877.275	-2292.492	1096.640
31	-1840.097	-1833.840	-836.810	1876.535	-2292.828	1097.369
32	-1839.899	-1833.851	-837.111	1875.778	-2293.011	1098.108
